0,793,"100101001111000111101010010110010111011111011000110"
69,229,"111000001111111101110100110100011010100101100111001"
135,217,"101010000010110100001000001101001111101100011001100"
202,217,"011101110001000101111111101101101101010010111000011"
268,229,"011111111110100011101000111011010100101100110100110"
334,205,"011110000000011100111101101111011011001101101010101"
400,221,"110100110100110101111011110101000100011011100000111"
466,225,"110101111000011101011111110100100110100010001100110"
533,229,"011111111110100011101000111011010100101100110100110"
599,209,"101010101101001100100101100011011000110000000001111"
665,205,"011110000000011100111101101111011011001101101010101"
