0,1305,"110110001110001101101010001000001001101110101110011"
70,233,"111010001010000111110100100011010000100011000011001"
136,221,"100110001101100111101011011110101110100000010111110"
202,221,"100000110100010100011110010000110101101110110001001"
268,217,"011010100101000101000001100001100110011111000000011"
335,221,"100001100001100000101110100000010001001110110101101"
401,185,"000111100000101010100000010010111101101100110001100"
467,217,"111000111010111010110111010110111001001000000111111"
533,189,"111010010110010101111011101111001000101110011000001"
599,233,"010010110100111111110011110001010101111000100110011"
665,221,"101001011110100110111110001110101110110001000100011"
