0,1809,"011100100101110100101010010101011010010110011001001"
68,221,"000000101010110000011000001101101001011001100111001"
134,201,"101010101101101001011111111100000110000011001100011"
200,217,"010110101101010001010011011000001110000000000110011"
266,213,"000100100101001001101111110101000110011100011111000"
332,225,"010110111111101010001011100001011000100011010011001"
399,169,"111011111011110011000100110101110000011110100101010"
465,217,"010110110100010010011101110100001000111000000111000"
531,197,"111001111000011111100100101101110110101010001000100"
597,217,"010010100110101010110111011110111110011000001111100"
663,217,"000010101110001111111110010100100111100110110001011"
