0,1229,"100010011101000110100110011011110011101000010111100"
68,217,"010100111010101100100011100111100000010010000001101"
134,213,"110100101101001000101100010100011100010001000111111"
201,221,"001101011010101000111011110010000000110000011011001"
267,225,"100100011011001011011100001011000111000101011111111"
333,205,"011101011100010100101101101111110111001000111101000"
399,189,"000101101001101010000100010000110111010001100111110"
466,205,"001101100110101010100111100000111101101001000010000"
532,217,"010101111101001011110111110010110000010011100110011"
598,213,"101011111010010111110000100000110110111011000110001"
664,217,"011110001100111011101010110101111100100100100000011"
