0,1581,"101011000101110000011111001010111110101101010000110"
68,217,"000011111000000100000110001101011011010101010011001"
134,221,"000000101010110000011000001101101001011001100111001"
200,233,"000101110101111000001011011100101111011100111100110"
266,185,"000111100000101010100000010010111101101100110001100"
332,213,"101011111010010111110000100000110110111011000110001"
398,221,"010011011011111111010101000111100001011010110001100"
464,229,"001010101011110110111101101110000001111001100001100"
530,217,"110100100110010001000000011111010110001110001010110"
596,217,"010110101101011101111001101111100000110001011101110"
662,213,"111110101111000010100101110101100011101110010011011"
