0,1049,"000110001011111110001110110100110110000100010110110"
69,217,"010100111010101100100011100111100000010010000001101"
138,221,"001110000111001100010011111111101100100101101010101"
204,217,"011100111000000011111001110110111011011010011010101"
270,217,"101101011001010101001000100001000001100111110000011"
336,221,"010101111111100101001101011000111100001100110010011"
402,209,"000000000111100110001111001001110010011010101011010"
468,213,"000001010000111101011010001010011100010001101100100"
535,213,"010100000101101000001111011111001001000100111001110"
601,205,"011110000000011100111101101111011011001101101010101"
667,233,"110010011011010011110100000001000111000010101001110"
