0,1201,"111110101000000111110101001110011111000111101000011"
69,213,"101011111010010111110000100000110110111011000110001"
135,221,"011111001011101011100001101111001010010001001110110"
201,209,"000010011011110110110010111101011010001110101000111"
267,233,"111000011110010101011001011011111111010010001100110"
333,209,"111100001111111011110010100101010100110001100100110"
400,213,"000001010000111101011010001010011100010001101100100"
466,221,"110110110110111001100010000010101111010100001111000"
532,213,"000100100101001001101111110101000110011100011111000"
598,189,"010000111100111111010001000101100010000100110010100"
664,213,"000111100100110110100101001110010000000010101011100"
