0,1485,"110011001110110000110100110111101010101011001001110"
68,217,"101000000100100101010100111110001101001100011011110"
135,221,"011001100110010110110100000000010101010000111000011"
201,213,"111111111010100010011011000100011010110000111100001"
267,205,"100001111111100011000010010000100100110010010101010"
334,213,"111001100001100100100000010101101100001011000010111"
400,217,"010010100110101010110111011110111110011000001111100"
467,221,"001100110011010010010110101010111111111000111000011"
535,217,"111111010000011010101011011010111100111100110011001"
601,221,"110011001100101101101001010101000000000111000111100"
668,213,"101011111010010111110000100000110110111011000110001"
