0,1141,"111101001011100101111110110100010110001011001100011"
68,213,"000001010000111101011010001010011100010001101100100"
134,217,"101101011001010101001000100001000001100111110000011"
201,189,"000101101001101010000100010000110111010001100111110"
267,201,"000011100001100010001100100010111111010100100100101"
333,217,"000001101111111001110110110010110101000111010100111"
399,221,"110010010011110000101110001100101011010100000000001"
465,229,"100000000100110110011100001110101000111011010110101"
531,229,"110101010100001001000010010001111110000110011110011"
597,217,"000111110011111111100010001011101011001101011010110"
663,221,"001100110011000011100001010101000000000101101101001"
